,,model_cost,model_cost,model_latency,model_latency,accuracy,accuracy,f1_score,f1_score,recall,recall,rcs,rcs
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model_name,cost_weight,,,,,,,,,,,,
ACL,0.2,1594.6337,,1203508.8,,0.7317,,0.6188,,0.7317,,7.6328,
ACL,0.5,1594.6337,,1203508.8,,0.7317,,0.6188,,0.7317,,7.2765,
ACL,0.8,1594.6337,,1203508.8,,0.7317,,0.6188,,0.7317,,6.8204,
AHL,0.2,2110.8383,,401169.6,,0.1936,,0.0636,,0.1936,,-22.2677,
AHL,0.5,2110.8383,,401169.6,,0.1936,,0.0636,,0.1936,,-22.7394,
AHL,0.8,2110.8383,,401169.6,,0.1936,,0.0636,,0.1936,,-23.3432,
AWL,0.2,2184.7703,,802339.2,,0.0747,,0.0106,,0.0747,,-26.5501,
AWL,0.5,2184.7703,,802339.2,,0.0747,,0.0106,,0.0747,,-27.0383,
AWL,0.8,2184.7703,,802339.2,,0.0747,,0.0106,,0.0747,,-27.6633,
DCT,0.2,1923.6414,,494302.8,,0.212,,0.1816,,0.212,,-11.4246,
DCT,0.5,1624.7782,,542625.2,,0.4712,,0.5061,,0.4712,,5.5237,
DCT,0.8,1450.306,,566661.2,,0.7072,,0.7205,,0.7072,,15.2539,
HV,0.2,1454.3092,,520291.2,,0.7079,,0.728,,0.7079,,15.7609,
HV,0.5,1454.3092,,520291.2,,0.7079,,0.728,,0.7079,,15.436,
HV,0.8,1454.3092,,520291.2,,0.7079,,0.728,,0.7079,,15.02,
KNN,0.2,1696.102,,487684.4,,0.5287,,0.5329,,0.5287,,1.7554,
KNN,0.5,1552.3779,,523009.2,,0.6523,,0.6555,,0.6523,,9.7335,
KNN,0.8,1414.8001,,562859.2,,0.7538,,0.7468,,0.7538,,17.3286,
LR,0.2,2101.4243,,403806.4,,0.1928,,0.0663,,0.1928,,-21.7224,
LR,0.5,1845.3235,,480472.8,,0.1937,,0.1689,,0.1937,,-7.3004,
LR,0.8,1365.1651,,611529.6,,0.749,,0.7106,,0.749,,20.2289,
ONL,0.2,1726.4068,,467208.8,,0.5209,,0.5259,,0.5209,,0.0,
ONL,0.5,1719.7729,,476456.0,,0.5179,,0.5302,,0.5179,,0.0,
ONL,0.8,1711.354,,483188.4,,0.5148,,0.5341,,0.5148,,0.0,
RF,0.2,1946.561,,441416.4,,0.22,,0.1672,,0.22,,-12.7522,
RF,0.5,1623.7418,,502540.0,,0.4806,,0.5137,,0.4806,,5.5839,
RF,0.8,1425.4652,,580983.2,,0.7168,,0.7246,,0.7168,,16.7054,
SV,0.2,2071.0488,,407034.4,,0.1996,,0.0852,,0.1996,,-19.963,
SV,0.5,1591.698,,501204.8,,0.5175,,0.559,,0.5175,,7.4472,
SV,0.8,1388.9376,,581719.6,,0.7471,,0.736,,0.7471,,18.8398,
SV-Grid,0.2,2085.8721,,406191.2,,0.1919,,0.0701,,0.1919,,-20.8216,
SV-Grid,0.5,1831.4841,,463478.8,,0.2364,,0.22,,0.2364,,-6.4957,
SV-Grid,0.8,1500.8652,,612242.0,,0.6569,,0.6742,,0.6569,,12.2996,
SVML,0.2,2110.8383,,401169.6,,0.1936,,0.0636,,0.1936,,-22.2677,
SVML,0.5,1842.5034,,486350.8,,0.1875,,0.1651,,0.1875,,-7.1364,
SVML,0.8,1438.8757,,597400.0,,0.6805,,0.6785,,0.6805,,15.9218,
SVMR,0.2,2093.6871,,404918.4,,0.1921,,0.0673,,0.1921,,-21.2743,
SVMR,0.5,1847.0061,,461861.2,,0.2157,,0.1897,,0.2157,,-7.3983,
SVMR,0.8,1561.2578,,650498.8,,0.6191,,0.6412,,0.6191,,8.7706,
